/home/zeus/miniconda3/envs/cloudspace/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(
Epoch 01/200 | Train loss: 197.7219 (hm=1.0655, re=32.5162, fe=164.1401) | Val loss: 39.5698 (hm=0.7461, re=7.7607, fe=31.0630) | Val MRE(mm): 166.791 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 233.3s
Epoch 02/200 | Train loss: 39.2970 (hm=0.5398, re=7.7447, fe=31.0125) | Val loss: 39.1761 (hm=0.4286, re=7.7485, fe=30.9990) | Val MRE(mm): 163.751 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 227.9s
Epoch 03/200 | Train loss: 39.1298 (hm=0.4147, re=7.7425, fe=30.9727) | Val loss: 39.1231 (hm=0.4001, re=7.7482, fe=30.9748) | Val MRE(mm): 161.143 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 227.7s
Epoch 04/200 | Train loss: 39.0373 (hm=0.3990, re=7.7354, fe=30.9030) | Val loss: 39.0813 (hm=0.3918, re=7.7424, fe=30.9471) | Val MRE(mm): 158.756 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 227.9s
Epoch 05/200 | Train loss: 38.9742 (hm=0.3934, re=7.7297, fe=30.8511) | Val loss: 38.9852 (hm=0.3876, re=7.7392, fe=30.8583) | Val MRE(mm): 156.538 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 227.8s
Epoch 06/200 | Train loss: 38.9445 (hm=0.3899, re=7.7303, fe=30.8244) | Val loss: 38.9530 (hm=0.3848, re=7.7336, fe=30.8347) | Val MRE(mm): 154.798 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 227.6s
Epoch 07/200 | Train loss: 38.8949 (hm=0.3877, re=7.7270, fe=30.7803) | Val loss: 38.9258 (hm=0.3837, re=7.7365, fe=30.8056) | Val MRE(mm): 153.814 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 227.6s
Epoch 08/200 | Train loss: 38.8311 (hm=0.3865, re=7.7241, fe=30.7205) | Val loss: 38.8251 (hm=0.3826, re=7.7270, fe=30.7155) | Val MRE(mm): 152.569 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 227.7s
Epoch 09/200 | Train loss: 38.7943 (hm=0.3853, re=7.7222, fe=30.6869) | Val loss: 38.8055 (hm=0.3815, re=7.7278, fe=30.6962) | Val MRE(mm): 150.691 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 227.5s
Epoch 10/200 | Train loss: 38.7569 (hm=0.3842, re=7.7203, fe=30.6524) | Val loss: 38.7398 (hm=0.3805, re=7.7208, fe=30.6385) | Val MRE(mm): 148.786 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 227.6s
Epoch 11/200 | Train loss: 38.7043 (hm=0.3835, re=7.7168, fe=30.6040) | Val loss: 38.6876 (hm=0.3810, re=7.7231, fe=30.5835) | Val MRE(mm): 146.418 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 228.0s
Epoch 12/200 | Train loss: 38.6582 (hm=0.3822, re=7.7124, fe=30.5636) | Val loss: 38.7540 (hm=0.3797, re=7.7177, fe=30.6566) | Val MRE(mm): 144.520 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 227.4s
Epoch 13/200 | Train loss: 38.6056 (hm=0.3817, re=7.7080, fe=30.5159) | Val loss: 38.6159 (hm=0.3791, re=7.7106, fe=30.5262) | Val MRE(mm): 141.980 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 227.5s
Epoch 14/200 | Train loss: 38.5474 (hm=0.3809, re=7.7009, fe=30.4656) | Val loss: 38.5640 (hm=0.3782, re=7.7099, fe=30.4759) | Val MRE(mm): 139.619 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 227.7s
