===== cephadoadu_convnextv2_tiny =====
/home/zeus/miniconda3/envs/cloudspace/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(
Epoch 01/200 | Train loss: 285.3352 (hm=1.0854, re=17.1434, fe=267.1064) | Val loss: 39.8263 (hm=0.7235, re=7.8322, fe=31.2705) | Val MRE(mm): 160.974 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 194.8s
Epoch 02/200 | Train loss: 39.5603 (hm=0.4796, re=7.8144, fe=31.2664) | Val loss: 39.4253 (hm=0.4146, re=7.8015, fe=31.2092) | Val MRE(mm): 158.118 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 192.3s
Epoch 03/200 | Train loss: 39.4062 (hm=0.4022, re=7.8041, fe=31.1998) | Val loss: 39.3715 (hm=0.3965, re=7.7967, fe=31.1784) | Val MRE(mm): 155.632 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 192.0s
Epoch 04/200 | Train loss: 39.3700 (hm=0.3934, re=7.8069, fe=31.1698) | Val loss: 39.3013 (hm=0.3894, re=7.7953, fe=31.1166) | Val MRE(mm): 153.410 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 191.9s
Epoch 05/200 | Train loss: 39.3051 (hm=0.3885, re=7.8010, fe=31.1155) | Val loss: 39.2575 (hm=0.3859, re=7.7962, fe=31.0754) | Val MRE(mm): 151.136 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 191.8s
Epoch 06/200 | Train loss: 39.2655 (hm=0.3859, re=7.7991, fe=31.0805) | Val loss: 39.1954 (hm=0.3836, re=7.7885, fe=31.0233) | Val MRE(mm): 148.871 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 191.9s
Epoch 07/200 | Train loss: 39.2187 (hm=0.3833, re=7.7957, fe=31.0396) | Val loss: 39.1649 (hm=0.3822, re=7.7869, fe=30.9959) | Val MRE(mm): 146.910 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 191.8s
Epoch 08/200 | Train loss: 39.1746 (hm=0.3823, re=7.7924, fe=30.9999) | Val loss: 39.1197 (hm=0.3811, re=7.7851, fe=30.9535) | Val MRE(mm): 144.760 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 191.9s
Epoch 09/200 | Train loss: 39.0968 (hm=0.3809, re=7.7838, fe=30.9322) | Val loss: 39.0895 (hm=0.3806, re=7.7911, fe=30.9179) | Val MRE(mm): 142.466 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 192.0s
Epoch 10/200 | Train loss: 39.0478 (hm=0.3800, re=7.7823, fe=30.8855) | Val loss: 39.0045 (hm=0.3793, re=7.7820, fe=30.8432) | Val MRE(mm): 139.734 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 191.8s
Epoch 11/200 | Train loss: 38.9979 (hm=0.3790, re=7.7815, fe=30.8374) | Val loss: 38.9599 (hm=0.3788, re=7.7782, fe=30.8029) | Val MRE(mm): 136.843 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 192.0s
Epoch 12/200 | Train loss: 38.9683 (hm=0.3787, re=7.7826, fe=30.8070) | Val loss: 38.8876 (hm=0.3783, re=7.7671, fe=30.7422) | Val MRE(mm): 133.924 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 192.0s
Epoch 13/200 | Train loss: 38.8806 (hm=0.3783, re=7.7761, fe=30.7262) | Val loss: 38.7845 (hm=0.3787, re=7.7639, fe=30.6419) | Val MRE(mm): 130.839 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 191.8s
Epoch 14/200 | Train loss: 38.8064 (hm=0.3777, re=7.7728, fe=30.6559) | Val loss: 38.7440 (hm=0.3773, re=7.7642, fe=30.6026) | Val MRE(mm): 127.785 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 191.7s
Epoch 15/200 | Train loss: 38.7161 (hm=0.3775, re=7.7660, fe=30.5726) | Val loss: 38.6996 (hm=0.3771, re=7.7711, fe=30.5514) | Val MRE(mm): 124.507 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 191.9s
Epoch 16/200 | Train loss: 38.6113 (hm=0.3775, re=7.7603, fe=30.4735) | Val loss: 38.6332 (hm=0.3779, re=7.7634, fe=30.4919) | Val MRE(mm): 120.133 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 191.9s
Epoch 17/200 | Train loss: 38.5119 (hm=0.3772, re=7.7543, fe=30.3804) | Val loss: 38.3970 (hm=0.3781, re=7.7410, fe=30.2779) | Val MRE(mm): 115.671 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 192.0s
Epoch 18/200 | Train loss: 38.4063 (hm=0.3769, re=7.7491, fe=30.2804) | Val loss: 38.3108 (hm=0.3768, re=7.7384, fe=30.1956) | Val MRE(mm): 110.986 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 192.0s
Epoch 19/200 | Train loss: 38.2685 (hm=0.3771, re=7.7397, fe=30.1517) | Val loss: 38.1368 (hm=0.3767, re=7.7248, fe=30.0352) | Val MRE(mm): 105.407 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 191.9s
Epoch 20/200 | Train loss: 38.0954 (hm=0.3768, re=7.7287, fe=29.9899) | Val loss: 38.0282 (hm=0.3770, re=7.7373, fe=29.9139) | Val MRE(mm): 99.411 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 191.9s
Epoch 21/200 | Train loss: 37.9567 (hm=0.3769, re=7.7238, fe=29.8560) | Val loss: 37.8039 (hm=0.3771, re=7.7081, fe=29.7187) | Val MRE(mm): 94.190 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 191.8s
Epoch 22/200 | Train loss: 37.7942 (hm=0.3772, re=7.7112, fe=29.7059) | Val loss: 37.6772 (hm=0.3786, re=7.6985, fe=29.6000) | Val MRE(mm): 88.209 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 191.8s
Epoch 23/200 | Train loss: 37.5933 (hm=0.3772, re=7.7033, fe=29.5128) | Val loss: 37.4564 (hm=0.3770, re=7.6875, fe=29.3919) | Val MRE(mm): 81.607 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.2 | 191.7s
Epoch 24/200 | Train loss: 37.3737 (hm=0.3772, re=7.6887, fe=29.3078) | Val loss: 37.2305 (hm=0.3783, re=7.6752, fe=29.1770) | Val MRE(mm): 74.398 | SDR%(2/2.5/3/4): 0.0/0.2/0.2/1.2 | 191.9s
Epoch 25/200 | Train loss: 37.1245 (hm=0.3772, re=7.6803, fe=29.0670) | Val loss: 36.8934 (hm=0.3775, re=7.6621, fe=28.8537) | Val MRE(mm): 67.234 | SDR%(2/2.5/3/4): 0.2/0.5/0.5/1.0 | 191.9s
Epoch 26/200 | Train loss: 36.8586 (hm=0.3770, re=7.6682, fe=28.8134) | Val loss: 36.6952 (hm=0.3783, re=7.6713, fe=28.6456) | Val MRE(mm): 60.040 | SDR%(2/2.5/3/4): 0.0/0.5/0.5/0.8 | 191.9s
Epoch 27/200 | Train loss: 36.5707 (hm=0.3772, re=7.6524, fe=28.5412) | Val loss: 36.2786 (hm=0.3769, re=7.6318, fe=28.2698) | Val MRE(mm): 52.453 | SDR%(2/2.5/3/4): 0.0/0.2/0.2/0.2 | 191.9s
Epoch 28/200 | Train loss: 36.2091 (hm=0.3771, re=7.6317, fe=28.2003) | Val loss: 35.9426 (hm=0.3774, re=7.6144, fe=27.9507) | Val MRE(mm): 45.123 | SDR%(2/2.5/3/4): 0.2/0.2/0.5/0.8 | 192.0s
Epoch 29/200 | Train loss: 35.7932 (hm=0.3791, re=7.6129, fe=27.8012) | Val loss: 35.4901 (hm=0.3781, re=7.5983, fe=27.5138) | Val MRE(mm): 36.695 | SDR%(2/2.5/3/4): 0.2/0.5/0.5/1.5 | 192.0s
Epoch 30/200 | Train loss: 35.3736 (hm=0.3797, re=7.5972, fe=27.3967) | Val loss: 35.0861 (hm=0.3841, re=7.5784, fe=27.1236) | Val MRE(mm): 29.501 | SDR%(2/2.5/3/4): 1.0/1.0/1.2/1.8 | 192.0s
Epoch 31/200 | Train loss: 34.8903 (hm=0.3800, re=7.5784, fe=26.9319) | Val loss: 34.4591 (hm=0.3796, re=7.5548, fe=26.5247) | Val MRE(mm): 23.339 | SDR%(2/2.5/3/4): 0.2/0.8/1.5/3.5 | 191.9s
Epoch 32/200 | Train loss: 34.4095 (hm=0.3813, re=7.5567, fe=26.4716) | Val loss: 34.0019 (hm=0.3839, re=7.5405, fe=26.0776) | Val MRE(mm): 18.932 | SDR%(2/2.5/3/4): 1.5/2.5/4.0/4.5 | 191.8s
Epoch 33/200 | Train loss: 33.9385 (hm=0.3825, re=7.5368, fe=26.0191) | Val loss: 33.5371 (hm=0.3802, re=7.5057, fe=25.6512) | Val MRE(mm): 15.442 | SDR%(2/2.5/3/4): 3.5/6.0/7.8/12.0 | 191.9s
Epoch 34/200 | Train loss: 33.4234 (hm=0.3810, re=7.5047, fe=25.5377) | Val loss: 32.8529 (hm=0.3800, re=7.4910, fe=24.9818) | Val MRE(mm): 12.906 | SDR%(2/2.5/3/4): 5.0/6.8/10.5/17.8 | 192.0s
Epoch 35/200 | Train loss: 32.7594 (hm=0.3845, re=7.4769, fe=24.8980) | Val loss: 32.2129 (hm=0.3826, re=7.4524, fe=24.3779) | Val MRE(mm): 10.821 | SDR%(2/2.5/3/4): 4.8/7.8/12.0/18.8 | 191.8s
Epoch 36/200 | Train loss: 32.4236 (hm=0.3859, re=7.4597, fe=24.5781) | Val loss: 31.6273 (hm=0.3848, re=7.4285, fe=23.8140) | Val MRE(mm): 7.746 | SDR%(2/2.5/3/4): 13.5/19.2/24.8/31.5 | 191.8s
Epoch 37/200 | Train loss: 33.9715 (hm=0.8977, re=7.4423, fe=25.6315) | Val loss: 34.0069 (hm=0.9657, re=7.4145, fe=25.6268) | Val MRE(mm): 27.070 | SDR%(2/2.5/3/4): 1.0/1.0/1.0/2.2 | 191.5s
Epoch 38/200 | Train loss: 34.0241 (hm=0.9808, re=7.4111, fe=25.6322) | Val loss: 33.7280 (hm=0.9658, re=7.3955, fe=25.3666) | Val MRE(mm): 27.040 | SDR%(2/2.5/3/4): 0.5/0.8/1.0/2.2 | 191.8s
Epoch 39/200 | Train loss: 33.6926 (hm=0.9576, re=7.3651, fe=25.3698) | Val loss: 33.4205 (hm=0.9083, re=7.3149, fe=25.1973) | Val MRE(mm): 27.013 | SDR%(2/2.5/3/4): 0.8/1.0/1.0/1.5 | 191.8s
Epoch 40/200 | Train loss: 33.3580 (hm=0.8721, re=7.2983, fe=25.1876) | Val loss: 33.0818 (hm=0.8096, re=7.3005, fe=24.9716) | Val MRE(mm): 26.835 | SDR%(2/2.5/3/4): 0.5/1.2/1.5/3.0 | 191.7s
Epoch 41/200 | Train loss: 33.0471 (hm=0.8041, re=7.2439, fe=24.9990) | Val loss: 32.7479 (hm=0.7419, re=7.1791, fe=24.8269) | Val MRE(mm): 26.803 | SDR%(2/2.5/3/4): 0.5/1.0/1.5/2.8 | 191.7s
Epoch 42/200 | Train loss: 32.8637 (hm=0.8357, re=7.1719, fe=24.8561) | Val loss: 32.7955 (hm=1.0099, re=7.1373, fe=24.6482) | Val MRE(mm): 26.905 | SDR%(2/2.5/3/4): 0.5/1.5/2.0/3.0 | 191.7s
Epoch 43/200 | Train loss: 32.8947 (hm=1.0099, re=7.1232, fe=24.7616) | Val loss: 32.6079 (hm=1.0099, re=7.0605, fe=24.5375) | Val MRE(mm): 26.837 | SDR%(2/2.5/3/4): 0.8/0.8/1.8/3.5 | 191.7s


===== cephadoadu_resume_lr5e5 =====
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
/home/zeus/miniconda3/envs/cloudspace/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(
Resumed weights from /teamspace/studios/this_studio/Convnext_DeLR_backup/outputs/cephadoadu_resume_lr5e5/seed_best_e36.pt (missing=0, unexpected=0).
Checkpoint val_metrics: {'loss': 31.62728080749512, 'loss_hm': 0.38479148894548415, 'loss_re': 7.428454136848449, 'loss_fe': 23.814035415649414, 'mre_mm': 7.746273212432861, 'mre_px': 77.4627293395996, 'sdr_2_0mm': 13.5, 'sdr_2_5mm': 19.25, 'sdr_3_0mm': 24.75, 'sdr_4_0mm': 31.5}
Epoch 01/200 | Train loss: 31.4396 (hm=0.3801, re=7.4310, fe=23.6285) | Val loss: 30.8354 (hm=0.3791, re=7.4112, fe=23.0451) | Val MRE(mm): 6.425 | SDR%(2/2.5/3/4): 20.5/26.2/32.8/43.8 | 194.8s
Epoch 02/200 | Train loss: 30.9793 (hm=0.3792, re=7.4145, fe=23.1855) | Val loss: 30.5040 (hm=0.3779, re=7.3979, fe=22.7282) | Val MRE(mm): 5.817 | SDR%(2/2.5/3/4): 21.5/31.0/38.2/52.0 | 192.2s
Epoch 03/200 | Train loss: 30.6702 (hm=0.3792, re=7.3953, fe=22.8957) | Val loss: 30.1140 (hm=0.3783, re=7.3812, fe=22.3545) | Val MRE(mm): 5.182 | SDR%(2/2.5/3/4): 28.5/38.8/45.0/56.5 | 192.0s
Epoch 04/200 | Train loss: 30.3483 (hm=0.3800, re=7.3913, fe=22.5770) | Val loss: 30.2876 (hm=0.3790, re=7.3670, fe=22.5416) | Val MRE(mm): 6.202 | SDR%(2/2.5/3/4): 19.8/26.2/31.5/43.0 | 192.1s
Epoch 05/200 | Train loss: 30.0657 (hm=0.3797, re=7.3715, fe=22.3145) | Val loss: 29.4383 (hm=0.3789, re=7.3518, fe=21.7076) | Val MRE(mm): 4.030 | SDR%(2/2.5/3/4): 33.0/43.2/52.0/65.5 | 191.9s
Epoch 06/200 | Train loss: 29.7463 (hm=0.3801, re=7.3596, fe=22.0066) | Val loss: 29.0843 (hm=0.3787, re=7.3371, fe=21.3685) | Val MRE(mm): 3.902 | SDR%(2/2.5/3/4): 38.0/47.2/55.8/66.2 | 192.0s
Epoch 07/200 | Train loss: 29.3795 (hm=0.3796, re=7.3426, fe=21.6573) | Val loss: 28.9402 (hm=0.3794, re=7.3220, fe=21.2387) | Val MRE(mm): 3.751 | SDR%(2/2.5/3/4): 37.2/47.5/54.8/65.2 | 192.0s
Epoch 08/200 | Train loss: 29.1551 (hm=0.3803, re=7.3281, fe=21.4468) | Val loss: 28.8226 (hm=0.3791, re=7.3035, fe=21.1400) | Val MRE(mm): 4.023 | SDR%(2/2.5/3/4): 35.2/44.5/54.2/64.5 | 192.0s
Epoch 09/200 | Train loss: 28.8718 (hm=0.3803, re=7.3041, fe=21.1874) | Val loss: 28.3988 (hm=0.3796, re=7.2903, fe=20.7289) | Val MRE(mm): 3.395 | SDR%(2/2.5/3/4): 36.8/48.5/56.2/73.5 | 192.1s
Epoch 10/200 | Train loss: 28.6720 (hm=0.3812, re=7.2896, fe=21.0012) | Val loss: 28.0083 (hm=0.3792, re=7.2721, fe=20.3570) | Val MRE(mm): 2.855 | SDR%(2/2.5/3/4): 47.0/58.2/68.0/77.2 | 191.8s
Epoch 11/200 | Train loss: 28.2506 (hm=0.3799, re=7.2763, fe=20.5944) | Val loss: 28.0169 (hm=0.3799, re=7.2594, fe=20.3775) | Val MRE(mm): 3.379 | SDR%(2/2.5/3/4): 47.2/58.0/64.5/76.2 | 192.1s
Epoch 12/200 | Train loss: 28.1541 (hm=0.3804, re=7.2691, fe=20.5046) | Val loss: 27.5459 (hm=0.3800, re=7.2335, fe=19.9324) | Val MRE(mm): 2.893 | SDR%(2/2.5/3/4): 44.5/56.5/70.2/82.5 | 192.1s
Epoch 13/200 | Train loss: 27.7367 (hm=0.3804, re=7.2430, fe=20.1133) | Val loss: 27.0852 (hm=0.3796, re=7.2167, fe=19.4889) | Val MRE(mm): 2.305 | SDR%(2/2.5/3/4): 55.0/65.2/74.5/87.0 | 191.8s
Epoch 14/200 | Train loss: 27.6260 (hm=0.3802, re=7.2282, fe=20.0176) | Val loss: 27.7365 (hm=0.3788, re=7.1966, fe=20.1611) | Val MRE(mm): 3.605 | SDR%(2/2.5/3/4): 37.5/46.0/54.2/67.0 | 191.8s
Epoch 15/200 | Train loss: 27.3059 (hm=0.3800, re=7.2062, fe=19.7196) | Val loss: 27.0500 (hm=0.3796, re=7.1770, fe=19.4934) | Val MRE(mm): 2.969 | SDR%(2/2.5/3/4): 54.5/65.0/72.0/81.5 | 192.2s
Epoch 16/200 | Train loss: 26.9138 (hm=0.3808, re=7.1819, fe=19.3511) | Val loss: 27.6641 (hm=0.3802, re=7.1555, fe=20.1284) | Val MRE(mm): 4.239 | SDR%(2/2.5/3/4): 39.2/49.2/55.5/66.8 | 192.0s
Epoch 17/200 | Train loss: 26.7878 (hm=0.3809, re=7.1611, fe=19.2458) | Val loss: 26.1101 (hm=0.3805, re=7.1301, fe=18.5995) | Val MRE(mm): 2.073 | SDR%(2/2.5/3/4): 63.7/73.2/80.0/88.8 | 192.3s
Epoch 18/200 | Train loss: 26.6115 (hm=0.3804, re=7.1416, fe=19.0895) | Val loss: 25.8813 (hm=0.3805, re=7.1085, fe=18.3924) | Val MRE(mm): 2.054 | SDR%(2/2.5/3/4): 63.5/73.8/81.0/90.2 | 192.2s
Epoch 19/200 | Train loss: 26.1617 (hm=0.3808, re=7.1154, fe=18.6654) | Val loss: 25.4963 (hm=0.3809, re=7.0797, fe=18.0357) | Val MRE(mm): 1.919 | SDR%(2/2.5/3/4): 65.2/75.8/83.0/90.8 | 192.3s
Epoch 20/200 | Train loss: 26.2236 (hm=0.3805, re=7.0828, fe=18.7603) | Val loss: 25.3850 (hm=0.3808, re=7.0541, fe=17.9500) | Val MRE(mm): 1.841 | SDR%(2/2.5/3/4): 66.8/76.5/82.5/90.5 | 192.3s
Epoch 21/200 | Train loss: 25.8677 (hm=0.3808, re=7.0564, fe=18.4304) | Val loss: 25.6190 (hm=0.3804, re=7.0254, fe=18.2133) | Val MRE(mm): 2.308 | SDR%(2/2.5/3/4): 60.0/71.8/77.8/87.0 | 192.0s
Epoch 22/200 | Train loss: 25.5008 (hm=0.3808, re=7.0268, fe=18.0931) | Val loss: 25.1630 (hm=0.3811, re=6.9945, fe=17.7874) | Val MRE(mm): 1.919 | SDR%(2/2.5/3/4): 68.0/78.2/84.8/93.0 | 192.2s
Epoch 23/200 | Train loss: 25.4565 (hm=0.3811, re=7.0000, fe=18.0754) | Val loss: 25.8854 (hm=0.3809, re=6.9670, fe=18.5376) | Val MRE(mm): 2.839 | SDR%(2/2.5/3/4): 54.8/62.3/69.0/78.2 | 192.1s
Epoch 24/200 | Train loss: 25.2776 (hm=0.3818, re=6.9690, fe=17.9268) | Val loss: 25.4456 (hm=0.3809, re=6.9330, fe=18.1317) | Val MRE(mm): 2.541 | SDR%(2/2.5/3/4): 55.5/63.5/71.5/82.5 | 192.4s
Epoch 25/200 | Train loss: 25.0914 (hm=0.3808, re=6.9383, fe=17.7723) | Val loss: 24.5440 (hm=0.3817, re=6.9041, fe=17.2582) | Val MRE(mm): 1.752 | SDR%(2/2.5/3/4): 69.5/76.8/83.8/92.5 | 192.5s
