/home/zeus/miniconda3/envs/cloudspace/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(
Epoch 01/200 | Train loss: 551.3003 (hm=1.2426, re=54.3532, fe=495.7045) | Val loss: 40.5661 (hm=1.1523, re=7.8706, fe=31.5431) | Val MRE(mm): 203.452 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 97.0s
Epoch 02/200 | Train loss: 40.3571 (hm=1.0295, re=7.8496, fe=31.4780) | Val loss: 40.2229 (hm=0.9418, re=7.8451, fe=31.4360) | Val MRE(mm): 202.369 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.4s
Epoch 03/200 | Train loss: 40.0063 (hm=0.7381, re=7.8433, fe=31.4249) | Val loss: 39.8085 (hm=0.5402, re=7.8431, fe=31.4252) | Val MRE(mm): 200.792 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.6s
Epoch 04/200 | Train loss: 39.7092 (hm=0.4660, re=7.8414, fe=31.4018) | Val loss: 39.6390 (hm=0.4205, re=7.8402, fe=31.3783) | Val MRE(mm): 199.264 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.6s
Epoch 05/200 | Train loss: 39.6041 (hm=0.4120, re=7.8345, fe=31.3577) | Val loss: 39.5857 (hm=0.4003, re=7.8349, fe=31.3506) | Val MRE(mm): 197.574 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.9s
Epoch 06/200 | Train loss: 39.5764 (hm=0.3986, re=7.8355, fe=31.3422) | Val loss: 39.5627 (hm=0.3932, re=7.8480, fe=31.3214) | Val MRE(mm): 195.832 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.9s
Epoch 07/200 | Train loss: 39.5431 (hm=0.3918, re=7.8341, fe=31.3172) | Val loss: 39.5245 (hm=0.3887, re=7.8331, fe=31.3027) | Val MRE(mm): 194.286 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.7s
Epoch 08/200 | Train loss: 39.5155 (hm=0.3874, re=7.8336, fe=31.2944) | Val loss: 39.5170 (hm=0.3865, re=7.8356, fe=31.2949) | Val MRE(mm): 192.442 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.6s
Epoch 09/200 | Train loss: 39.4796 (hm=0.3839, re=7.8313, fe=31.2644) | Val loss: 39.4494 (hm=0.3834, re=7.8279, fe=31.2381) | Val MRE(mm): 190.813 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.6s
Epoch 10/200 | Train loss: 39.4384 (hm=0.3823, re=7.8254, fe=31.2308) | Val loss: 39.4781 (hm=0.3816, re=7.8342, fe=31.2623) | Val MRE(mm): 189.086 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.6s
Epoch 11/200 | Train loss: 39.3830 (hm=0.3806, re=7.8196, fe=31.1828) | Val loss: 39.4279 (hm=0.3811, re=7.8258, fe=31.2210) | Val MRE(mm): 187.090 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.6s
