/home/zeus/miniconda3/envs/cloudspace/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(
Resumed weights from outputs/isbi2015/best_model.pt (missing=0, unexpected=0).
Checkpoint val_metrics: {'loss': 17.030692812601725, 'loss_hm': 0.3786947846412659, 'loss_re': 4.278548129399618, 'loss_fe': 12.373450012207032, 'mre_mm': 1.1878296544259055, 'mre_px': 11.878296310692503, 'sdr_2_0mm': 84.3859649122807, 'sdr_2_5mm': 91.33333333333333, 'sdr_3_0mm': 95.08771929824562, 'sdr_4_0mm': 97.6140350877193}
Epoch 01/200 | Train loss: 14.5212 (hm=0.3786, re=4.5397, fe=9.6029) | Val loss: 17.2019 (hm=0.3784, re=4.4267, fe=12.3968) | Val MRE(mm): 1.240 | SDR%(2/2.5/3/4): 83.2/90.4/94.5/97.7 | 98.0s
Epoch 02/200 | Train loss: 14.4263 (hm=0.3776, re=4.4902, fe=9.5585) | Val loss: 17.4748 (hm=0.3784, re=4.3829, fe=12.7134) | Val MRE(mm): 1.237 | SDR%(2/2.5/3/4): 83.9/91.0/94.9/97.7 | 93.8s
Epoch 03/200 | Train loss: 14.2499 (hm=0.3773, re=4.4577, fe=9.4149) | Val loss: 17.3814 (hm=0.3784, re=4.3061, fe=12.6969) | Val MRE(mm): 1.243 | SDR%(2/2.5/3/4): 84.3/91.2/94.8/97.7 | 94.0s
Epoch 04/200 | Train loss: 14.1586 (hm=0.3770, re=4.4533, fe=9.3283) | Val loss: 17.4987 (hm=0.3783, re=4.3452, fe=12.7752) | Val MRE(mm): 1.243 | SDR%(2/2.5/3/4): 83.6/91.1/94.7/97.8 | 94.1s
Epoch 05/200 | Train loss: 14.1181 (hm=0.3773, re=4.4194, fe=9.3214) | Val loss: 16.9401 (hm=0.3783, re=4.2372, fe=12.3247) | Val MRE(mm): 1.197 | SDR%(2/2.5/3/4): 84.9/91.4/95.0/97.8 | 94.2s
Epoch 06/200 | Train loss: 14.3008 (hm=0.3772, re=4.4623, fe=9.4614) | Val loss: 17.2544 (hm=0.3786, re=4.3913, fe=12.4845) | Val MRE(mm): 1.227 | SDR%(2/2.5/3/4): 84.1/90.6/94.8/97.8 | 94.2s
Epoch 07/200 | Train loss: 14.0280 (hm=0.3773, re=4.4561, fe=9.1946) | Val loss: 17.2596 (hm=0.3783, re=4.3554, fe=12.5260) | Val MRE(mm): 1.205 | SDR%(2/2.5/3/4): 84.7/91.0/94.7/97.5 | 94.2s
Epoch 08/200 | Train loss: 14.1448 (hm=0.3769, re=4.4305, fe=9.3373) | Val loss: 17.4168 (hm=0.3782, re=4.4791, fe=12.5595) | Val MRE(mm): 1.216 | SDR%(2/2.5/3/4): 84.6/91.2/95.1/97.7 | 94.1s
Epoch 09/200 | Train loss: 13.9843 (hm=0.3768, re=4.4118, fe=9.1957) | Val loss: 17.3252 (hm=0.3783, re=4.2747, fe=12.6722) | Val MRE(mm): 1.218 | SDR%(2/2.5/3/4): 83.5/90.4/94.6/97.6 | 94.1s
Epoch 10/200 | Train loss: 13.9104 (hm=0.3774, re=4.4208, fe=9.1122) | Val loss: 17.4183 (hm=0.3781, re=4.2683, fe=12.7719) | Val MRE(mm): 1.213 | SDR%(2/2.5/3/4): 84.4/90.9/94.6/97.8 | 94.2s
Epoch 11/200 | Train loss: 14.0729 (hm=0.3774, re=4.4520, fe=9.2435) | Val loss: 17.4131 (hm=0.3782, re=4.3829, fe=12.6520) | Val MRE(mm): 1.246 | SDR%(2/2.5/3/4): 84.0/91.0/94.7/97.7 | 94.2s
Epoch 12/200 | Train loss: 13.9520 (hm=0.3782, re=4.4322, fe=9.1416) | Val loss: 17.2477 (hm=0.3786, re=4.3198, fe=12.5493) | Val MRE(mm): 1.196 | SDR%(2/2.5/3/4): 85.2/91.4/95.2/97.6 | 94.1s
Epoch 13/200 | Train loss: 13.8330 (hm=0.3769, re=4.3977, fe=9.0584) | Val loss: 17.4493 (hm=0.3782, re=4.4189, fe=12.6522) | Val MRE(mm): 1.216 | SDR%(2/2.5/3/4): 84.5/90.7/94.4/97.7 | 94.2s
Epoch 14/200 | Train loss: 14.0604 (hm=0.3773, re=4.4171, fe=9.2660) | Val loss: 17.4637 (hm=0.3785, re=4.2457, fe=12.8396) | Val MRE(mm): 1.200 | SDR%(2/2.5/3/4): 84.6/91.2/95.0/97.7 | 94.1s
Epoch 15/200 | Train loss: 13.6579 (hm=0.3767, re=4.3814, fe=8.8998) | Val loss: 17.6235 (hm=0.3779, re=4.2717, fe=12.9739) | Val MRE(mm): 1.186 | SDR%(2/2.5/3/4): 85.3/91.4/94.9/97.9 | 94.1s
Epoch 16/200 | Train loss: 13.7730 (hm=0.3769, re=4.4002, fe=8.9959) | Val loss: 17.4182 (hm=0.3780, re=4.2661, fe=12.7740) | Val MRE(mm): 1.171 | SDR%(2/2.5/3/4): 85.3/91.3/95.1/97.8 | 94.2s
Epoch 17/200 | Train loss: 13.8194 (hm=0.3770, re=4.4105, fe=9.0319) | Val loss: 18.0351 (hm=0.3780, re=4.5121, fe=13.1450) | Val MRE(mm): 1.241 | SDR%(2/2.5/3/4): 83.7/91.1/94.7/97.7 | 94.1s
Epoch 18/200 | Train loss: 13.8093 (hm=0.3765, re=4.4208, fe=9.0120) | Val loss: 17.2975 (hm=0.3779, re=4.3609, fe=12.5587) | Val MRE(mm): 1.194 | SDR%(2/2.5/3/4): 84.7/91.0/94.6/97.5 | 94.1s
Epoch 19/200 | Train loss: 13.8075 (hm=0.3769, re=4.4033, fe=9.0273) | Val loss: 17.5028 (hm=0.3781, re=4.3018, fe=12.8229) | Val MRE(mm): 1.190 | SDR%(2/2.5/3/4): 85.0/91.2/94.8/97.8 | 94.2s
Epoch 20/200 | Train loss: 13.7663 (hm=0.3777, re=4.3833, fe=9.0052) | Val loss: 17.5050 (hm=0.3781, re=4.2757, fe=12.8512) | Val MRE(mm): 1.218 | SDR%(2/2.5/3/4): 84.4/91.4/94.9/98.0 | 94.1s
Epoch 21/200 | Train loss: 13.6163 (hm=0.3770, re=4.3762, fe=8.8631) | Val loss: 17.5693 (hm=0.3779, re=4.4359, fe=12.7556) | Val MRE(mm): 1.212 | SDR%(2/2.5/3/4): 84.7/91.4/94.8/97.9 | 94.0s
Epoch 22/200 | Train loss: 14.2265 (hm=0.3770, re=4.5051, fe=9.3444) | Val loss: 17.5676 (hm=0.3787, re=4.2321, fe=12.9568) | Val MRE(mm): 1.200 | SDR%(2/2.5/3/4): 84.2/91.2/94.7/97.8 | 94.0s
Epoch 23/200 | Train loss: 13.5852 (hm=0.3773, re=4.3817, fe=8.8262) | Val loss: 17.4468 (hm=0.3779, re=4.2646, fe=12.8043) | Val MRE(mm): 1.180 | SDR%(2/2.5/3/4): 85.1/91.7/95.3/97.9 | 94.0s
Epoch 24/200 | Train loss: 13.4697 (hm=0.3765, re=4.3648, fe=8.7284) | Val loss: 17.7764 (hm=0.3777, re=4.2266, fe=13.1721) | Val MRE(mm): 1.201 | SDR%(2/2.5/3/4): 84.6/91.0/94.7/97.8 | 94.0s
