Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
/home/zeus/miniconda3/envs/cloudspace/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(
Resumed weights from outputs/isbi2015_phase2/best_model.pt (missing=0, unexpected=0).
Checkpoint val_metrics: {'loss': 20.639675674438475, 'loss_hm': 0.3765456946690877, 'loss_re': 4.020073149998983, 'loss_fe': 16.243056818644206, 'mre_mm': 1.1324756036724961, 'mre_px': 11.324755843313117, 'sdr_2_0mm': 87.2280701754386, 'sdr_2_5mm': 92.42105263157895, 'sdr_3_0mm': 95.71929824561404, 'sdr_4_0mm': 98.17543859649123}
Epoch 01/128 | Train loss: 11.4091 (hm=0.3749, re=4.1220, fe=6.9121) | Val loss: 21.7661 (hm=0.3764, re=4.0172, fe=17.3725) | Val MRE(mm): 1.160 | SDR%(2/2.5/3/4): 85.7/91.5/95.1/98.1 | 97.6s
Epoch 02/128 | Train loss: 10.5265 (hm=0.3746, re=4.0568, fe=6.0951) | Val loss: 21.0746 (hm=0.3764, re=3.9145, fe=16.7838) | Val MRE(mm): 1.152 | SDR%(2/2.5/3/4): 85.9/91.9/95.4/98.0 | 93.8s
Epoch 03/128 | Train loss: 10.3998 (hm=0.3745, re=4.0081, fe=6.0172) | Val loss: 21.2092 (hm=0.3764, re=3.8862, fe=16.9466) | Val MRE(mm): 1.146 | SDR%(2/2.5/3/4): 86.1/92.1/95.6/98.1 | 93.8s
Epoch 04/128 | Train loss: 10.3168 (hm=0.3742, re=3.9996, fe=5.9430) | Val loss: 22.1625 (hm=0.3762, re=3.9468, fe=17.8395) | Val MRE(mm): 1.170 | SDR%(2/2.5/3/4): 85.3/91.4/95.3/97.9 | 93.9s
Epoch 05/128 | Train loss: 10.1171 (hm=0.3745, re=3.9464, fe=5.7963) | Val loss: 21.2223 (hm=0.3763, re=3.9428, fe=16.9033) | Val MRE(mm): 1.160 | SDR%(2/2.5/3/4): 85.8/91.6/95.2/98.1 | 94.1s
Epoch 06/128 | Train loss: 10.1140 (hm=0.3743, re=3.9223, fe=5.8174) | Val loss: 21.4295 (hm=0.3761, re=3.8651, fe=17.1883) | Val MRE(mm): 1.137 | SDR%(2/2.5/3/4): 86.5/92.3/95.7/98.1 | 93.9s
Epoch 07/128 | Train loss: 10.1760 (hm=0.3742, re=3.9549, fe=5.8470) | Val loss: 22.4387 (hm=0.3761, re=3.9203, fe=18.1423) | Val MRE(mm): 1.161 | SDR%(2/2.5/3/4): 86.0/92.1/95.4/98.1 | 93.8s
Epoch 08/128 | Train loss: 10.0186 (hm=0.3740, re=3.9341, fe=5.7105) | Val loss: 21.9659 (hm=0.3761, re=3.9190, fe=17.6708) | Val MRE(mm): 1.149 | SDR%(2/2.5/3/4): 86.4/92.2/95.8/98.0 | 93.8s
Epoch 09/128 | Train loss: 10.1776 (hm=0.3742, re=3.9609, fe=5.8425) | Val loss: 21.8886 (hm=0.3761, re=3.8428, fe=17.6696) | Val MRE(mm): 1.147 | SDR%(2/2.5/3/4): 86.2/92.1/95.5/98.1 | 93.8s
Epoch 10/128 | Train loss: 10.1493 (hm=0.3747, re=3.9593, fe=5.8153) | Val loss: 21.5766 (hm=0.3762, re=3.9743, fe=17.2261) | Val MRE(mm): 1.152 | SDR%(2/2.5/3/4): 86.3/92.2/95.5/98.2 | 93.8s
Epoch 11/128 | Train loss: 10.0371 (hm=0.3745, re=3.9306, fe=5.7320) | Val loss: 21.7649 (hm=0.3761, re=3.9126, fe=17.4762) | Val MRE(mm): 1.155 | SDR%(2/2.5/3/4): 86.2/91.9/95.5/98.2 | 93.8s
