/home/zeus/miniconda3/envs/cloudspace/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(
Epoch 01/150 | Train loss: 154.7623 (hm=1.2383, re=51.5702, fe=101.9538) | Val loss: 17.4404 (hm=1.1806, re=7.9545, fe=8.3053) | Val MRE(mm): 203.391 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 91.4s
Epoch 02/150 | Train loss: 16.7856 (hm=1.0450, re=7.8581, fe=7.8825) | Val loss: 16.7159 (hm=0.9101, re=7.8610, fe=7.9447) | Val MRE(mm): 202.972 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.7s
Epoch 03/150 | Train loss: 16.3712 (hm=0.6756, re=7.8420, fe=7.8537) | Val loss: 16.2328 (hm=0.4963, re=7.8604, fe=7.8762) | Val MRE(mm): 202.489 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.7s
Epoch 04/150 | Train loss: 16.1381 (hm=0.4465, re=7.8397, fe=7.8519) | Val loss: 16.1435 (hm=0.4152, re=7.8393, fe=7.8890) | Val MRE(mm): 201.964 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.6s
Epoch 05/150 | Train loss: 16.0881 (hm=0.4071, re=7.8336, fe=7.8473) | Val loss: 16.0821 (hm=0.3972, re=7.8347, fe=7.8502) | Val MRE(mm): 201.355 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 88.0s
Epoch 06/150 | Train loss: 16.0628 (hm=0.3952, re=7.8291, fe=7.8384) | Val loss: 16.1088 (hm=0.3938, re=7.8538, fe=7.8613) | Val MRE(mm): 200.602 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.6s
Epoch 07/150 | Train loss: 16.0548 (hm=0.3890, re=7.8345, fe=7.8313) | Val loss: 16.0575 (hm=0.3870, re=7.8290, fe=7.8415) | Val MRE(mm): 199.775 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.6s
Epoch 08/150 | Train loss: 16.0261 (hm=0.3849, re=7.8224, fe=7.8188) | Val loss: 16.0292 (hm=0.3832, re=7.8275, fe=7.8185) | Val MRE(mm): 198.758 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.5s
Epoch 09/150 | Train loss: 16.0300 (hm=0.3828, re=7.8259, fe=7.8213) | Val loss: 16.0295 (hm=0.3822, re=7.8330, fe=7.8143) | Val MRE(mm): 197.913 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.8s
Epoch 10/150 | Train loss: 16.0120 (hm=0.3824, re=7.8218, fe=7.8077) | Val loss: 16.0220 (hm=0.3807, re=7.8243, fe=7.8170) | Val MRE(mm): 196.754 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.5s
Epoch 11/150 | Train loss: 16.0013 (hm=0.3792, re=7.8168, fe=7.8052) | Val loss: 16.0342 (hm=0.3794, re=7.8523, fe=7.8026) | Val MRE(mm): 195.745 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.5s
Epoch 12/150 | Train loss: 15.9966 (hm=0.3778, re=7.8200, fe=7.7989) | Val loss: 15.9946 (hm=0.3790, re=7.8208, fe=7.7948) | Val MRE(mm): 194.597 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.4s
Epoch 13/150 | Train loss: 15.9868 (hm=0.3771, re=7.8139, fe=7.7958) | Val loss: 15.9831 (hm=0.3771, re=7.8132, fe=7.7929) | Val MRE(mm): 193.402 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.4s
Epoch 14/150 | Train loss: 15.9724 (hm=0.3764, re=7.8099, fe=7.7861) | Val loss: 15.9676 (hm=0.3774, re=7.8103, fe=7.7799) | Val MRE(mm): 192.124 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.4s
Epoch 15/150 | Train loss: 15.9525 (hm=0.3759, re=7.8046, fe=7.7720) | Val loss: 15.9556 (hm=0.3778, re=7.8062, fe=7.7716) | Val MRE(mm): 190.249 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.3s
