Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
/home/zeus/miniconda3/envs/cloudspace/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(
Epoch 01/150 | Train loss: 48.5378 (hm=1.1602, re=47.3777, fe=0.0000) | Val loss: 8.8768 (hm=0.9877, re=7.8891, fe=0.0000) | Val MRE(mm): 203.381 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 91.3s
Epoch 02/150 | Train loss: 8.6499 (hm=0.8073, re=7.8426, fe=0.0000) | Val loss: 8.4311 (hm=0.5881, re=7.8429, fe=0.0000) | Val MRE(mm): 203.140 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.0s
Epoch 03/150 | Train loss: 8.3438 (hm=0.4991, re=7.8446, fe=0.0000) | Val loss: 8.2931 (hm=0.4438, re=7.8492, fe=0.0000) | Val MRE(mm): 202.978 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.3s
Epoch 04/150 | Train loss: 8.2707 (hm=0.4288, re=7.8420, fe=0.0000) | Val loss: 8.2610 (hm=0.4107, re=7.8503, fe=0.0000) | Val MRE(mm): 202.753 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 05/150 | Train loss: 8.2414 (hm=0.4067, re=7.8347, fe=0.0000) | Val loss: 8.2360 (hm=0.3978, re=7.8383, fe=0.0000) | Val MRE(mm): 202.338 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 06/150 | Train loss: 8.2329 (hm=0.3933, re=7.8396, fe=0.0000) | Val loss: 8.2209 (hm=0.3882, re=7.8327, fe=0.0000) | Val MRE(mm): 201.985 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.3s
Epoch 07/150 | Train loss: 8.2184 (hm=0.3872, re=7.8312, fe=0.0000) | Val loss: 8.2184 (hm=0.3855, re=7.8329, fe=0.0000) | Val MRE(mm): 201.448 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.1s
Epoch 08/150 | Train loss: 8.2147 (hm=0.3831, re=7.8316, fe=0.0000) | Val loss: 8.2190 (hm=0.3815, re=7.8375, fe=0.0000) | Val MRE(mm): 200.892 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 09/150 | Train loss: 8.2061 (hm=0.3805, re=7.8256, fe=0.0000) | Val loss: 8.2056 (hm=0.3819, re=7.8236, fe=0.0000) | Val MRE(mm): 200.299 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.4s
Epoch 10/150 | Train loss: 8.2012 (hm=0.3792, re=7.8220, fe=0.0000) | Val loss: 8.2070 (hm=0.3791, re=7.8279, fe=0.0000) | Val MRE(mm): 199.763 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.3s
Epoch 11/150 | Train loss: 8.1930 (hm=0.3776, re=7.8155, fe=0.0000) | Val loss: 8.1979 (hm=0.3780, re=7.8199, fe=0.0000) | Val MRE(mm): 199.250 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.3s
Epoch 12/150 | Train loss: 8.1925 (hm=0.3777, re=7.8148, fe=0.0000) | Val loss: 8.2050 (hm=0.3775, re=7.8275, fe=0.0000) | Val MRE(mm): 198.711 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.4s
Epoch 13/150 | Train loss: 8.1963 (hm=0.3761, re=7.8202, fe=0.0000) | Val loss: 8.2008 (hm=0.3769, re=7.8240, fe=0.0000) | Val MRE(mm): 198.033 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 14/150 | Train loss: 8.1801 (hm=0.3758, re=7.8044, fe=0.0000) | Val loss: 8.1995 (hm=0.3767, re=7.8228, fe=0.0000) | Val MRE(mm): 197.365 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
