Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
/home/zeus/miniconda3/envs/cloudspace/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(
Epoch 01/150 | Train loss: 549.9757 (hm=0.0000, re=54.3515, fe=495.6241) | Val loss: 39.3820 (hm=0.0000, re=7.8668, fe=31.5152) | Val MRE(mm): 203.433 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 95.9s
Epoch 02/150 | Train loss: 39.3210 (hm=0.0000, re=7.8484, fe=31.4725) | Val loss: 39.2762 (hm=0.0000, re=7.8458, fe=31.4304) | Val MRE(mm): 202.180 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.0s
Epoch 03/150 | Train loss: 39.2576 (hm=0.0000, re=7.8422, fe=31.4154) | Val loss: 39.2638 (hm=0.0000, re=7.8364, fe=31.4274) | Val MRE(mm): 200.074 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.1s
Epoch 04/150 | Train loss: 39.2263 (hm=0.0000, re=7.8415, fe=31.3848) | Val loss: 39.1911 (hm=0.0000, re=7.8383, fe=31.3528) | Val MRE(mm): 198.113 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.0s
Epoch 05/150 | Train loss: 39.1617 (hm=0.0000, re=7.8319, fe=31.3298) | Val loss: 39.1602 (hm=0.0000, re=7.8357, fe=31.3245) | Val MRE(mm): 195.663 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.0s
Epoch 06/150 | Train loss: 39.1406 (hm=0.0000, re=7.8341, fe=31.3065) | Val loss: 39.1588 (hm=0.0000, re=7.8374, fe=31.3214) | Val MRE(mm): 193.941 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 92.9s
Epoch 07/150 | Train loss: 39.1173 (hm=0.0000, re=7.8299, fe=31.2874) | Val loss: 39.1178 (hm=0.0000, re=7.8335, fe=31.2843) | Val MRE(mm): 192.589 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.0s
Epoch 08/150 | Train loss: 39.1008 (hm=0.0000, re=7.8311, fe=31.2697) | Val loss: 39.1297 (hm=0.0000, re=7.8401, fe=31.2895) | Val MRE(mm): 190.792 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.0s
Epoch 09/150 | Train loss: 39.0612 (hm=0.0000, re=7.8295, fe=31.2316) | Val loss: 39.0662 (hm=0.0000, re=7.8269, fe=31.2393) | Val MRE(mm): 188.957 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.0s
Epoch 10/150 | Train loss: 39.0256 (hm=0.0000, re=7.8238, fe=31.2018) | Val loss: 39.0403 (hm=0.0000, re=7.8350, fe=31.2052) | Val MRE(mm): 187.158 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.0s
Epoch 11/150 | Train loss: 38.9726 (hm=0.0000, re=7.8174, fe=31.1552) | Val loss: 39.0424 (hm=0.0000, re=7.8245, fe=31.2178) | Val MRE(mm): 185.006 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 92.9s
