Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
/home/zeus/miniconda3/envs/cloudspace/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(
Epoch 01/150 | Train loss: 4655.8940 (hm=1.2370, re=940.3913, fe=3714.2656) | Val loss: 4621.3944 (hm=1.1962, re=941.5283, fe=3678.6698) | Val MRE(mm): 194.126 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 97.8s
Epoch 02/150 | Train loss: 4566.4494 (hm=1.1208, re=935.0561, fe=3630.2725) | Val loss: 4570.1594 (hm=1.0189, re=939.6394, fe=3629.5011) | Val MRE(mm): 189.741 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.1s
Epoch 03/150 | Train loss: 4561.5458 (hm=0.9878, re=938.3352, fe=3622.2228) | Val loss: 4557.2463 (hm=0.9603, re=938.9734, fe=3617.3125) | Val MRE(mm): 188.634 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.0s
Epoch 04/150 | Train loss: 4558.1188 (hm=0.9303, re=939.1757, fe=3618.0128) | Val loss: 4546.6249 (hm=0.8776, re=938.2732, fe=3607.4741) | Val MRE(mm): 187.896 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.0s
Epoch 05/150 | Train loss: 4524.3663 (hm=0.7770, re=933.9695, fe=3589.6199) | Val loss: 4534.8634 (hm=0.6511, re=937.4901, fe=3596.7223) | Val MRE(mm): 187.058 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.0s
Epoch 06/150 | Train loss: 4524.9601 (hm=0.5614, re=935.8067, fe=3588.5920) | Val loss: 4521.2991 (hm=0.4987, re=936.5662, fe=3584.2342) | Val MRE(mm): 186.117 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.0s
Epoch 07/150 | Train loss: 4502.8480 (hm=0.4662, re=933.3402, fe=3569.0417) | Val loss: 4505.6321 (hm=0.4430, re=935.5128, fe=3569.6763) | Val MRE(mm): 185.061 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.1s
Epoch 08/150 | Train loss: 4501.0215 (hm=0.4332, re=935.2813, fe=3565.3070) | Val loss: 4486.8796 (hm=0.4238, re=934.2459, fe=3552.2099) | Val MRE(mm): 183.686 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.2s
Epoch 09/150 | Train loss: 4470.6963 (hm=0.4158, re=931.9631, fe=3538.3173) | Val loss: 4464.4005 (hm=0.4122, re=932.7303, fe=3531.2580) | Val MRE(mm): 182.150 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.2s
Epoch 10/150 | Train loss: 4438.2949 (hm=0.4079, re=928.7673, fe=3509.1196) | Val loss: 4437.5942 (hm=0.4066, re=930.9319, fe=3506.2556) | Val MRE(mm): 180.231 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.2s
Epoch 11/150 | Train loss: 4393.1053 (hm=0.4034, re=923.6510, fe=3469.0509) | Val loss: 4406.2001 (hm=0.3984, re=928.8284, fe=3476.9733) | Val MRE(mm): 177.981 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.1s
Epoch 12/150 | Train loss: 4364.8286 (hm=0.4027, re=922.6299, fe=3441.7960) | Val loss: 4369.2167 (hm=0.3985, re=926.3370, fe=3442.4812) | Val MRE(mm): 175.396 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.1s
Epoch 13/150 | Train loss: 4370.8832 (hm=0.3966, re=929.2697, fe=3441.2169) | Val loss: 4325.9808 (hm=0.3934, re=923.4279, fe=3402.1595) | Val MRE(mm): 172.288 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.0s
Epoch 14/150 | Train loss: 4260.1259 (hm=0.3956, re=913.2119, fe=3346.5184) | Val loss: 4276.8586 (hm=0.3930, re=920.1365, fe=3356.3291) | Val MRE(mm): 168.827 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.0s
Epoch 15/150 | Train loss: 4224.0764 (hm=0.3951, re=913.0940, fe=3310.5874) | Val loss: 4220.5340 (hm=0.3952, re=916.3502, fe=3303.7887) | Val MRE(mm): 164.776 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.1s
Epoch 16/150 | Train loss: 4149.8523 (hm=0.3975, re=906.0170, fe=3243.4379) | Val loss: 4159.7800 (hm=0.3942, re=912.2721, fe=3247.1137) | Val MRE(mm): 160.508 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.0s
Epoch 17/150 | Train loss: 4099.6734 (hm=0.3979, re=904.4437, fe=3194.8318) | Val loss: 4092.1711 (hm=0.3917, re=907.7474, fe=3184.0320) | Val MRE(mm): 155.699 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.0s
Epoch 18/150 | Train loss: 4049.8432 (hm=0.3929, re=904.6274, fe=3144.8230) | Val loss: 4008.0723 (hm=0.3886, re=902.1008, fe=3105.5829) | Val MRE(mm): 149.750 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.1s
Epoch 19/150 | Train loss: 3942.6447 (hm=0.3898, re=894.9152, fe=3047.3397) | Val loss: 3914.9386 (hm=0.3870, re=895.8498, fe=3018.7017) | Val MRE(mm): 143.082 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.1s
